Name,AMAZON.COM,AMAZON.COM - TARGET PRICE MEAN,AMAZON.COM - TURNOVER BY VOLUME,AMAZON.COM - TARGET PRICE MEAN2,AMAZON.COM - TURNOVER BY VOLUME3,bid ask,AMAZON.COM - NO. TARGET PRICE
31/5/17,994.6201,-0.092020237,-0.095799909,1095.421,3913.1,-0.000392009,38
1/6/17,995.95,-0.090806183,-0.094590909,1095.421,2454.8,-0.001255424,38
2/6/17,1006.73,-0.080965218,-0.084790909,1095.421,3752.3,-0.000586376,38
5/6/17,1011.34,-0.07675679,-0.0806,1095.421,2719.9,-0.000227464,38
6/6/17,1003,-0.084370301,-0.088181818,1095.421,3346.4,-0.00021939,38
7/6/17,1010.07,-0.077916162,-0.081754545,1095.421,2823,-0.000653834,38
8/6/17,1010.27,-0.077733584,-0.081572727,1095.421,2767.9,-0.000138578,38
9/6/17,978.3101,-0.10690949,-0.110627182,1095.421,7647.7,-0.001597203,38
12/6/17,964.9099,-0.119142412,-0.122809182,1095.421,9447.2,-0.000850327,38
13/6/17,980.79,-0.104645611,-0.108372727,1095.421,4580,-3.06895E-05,38
14/6/17,976.47,-0.1085893,-0.1123,1095.421,3974.9,-0.000276583,38
15/6/17,964.1699,-0.132033744,-0.123481909,1110.838,5373.9,-0.000207372,37
16/6/17,987.71,-0.110842445,-0.102081818,1110.838,11472.7,-0.000101153,37
19/6/17,995.1699,-0.104126884,-0.095300091,1110.838,5043.4,-0.00010039,37
20/6/17,992.5901,-0.106449275,-0.097645364,1110.838,4076.8,-0.000292244,37
21/6/17,1002.23,-0.097771232,-0.088881818,1110.838,2922.5,-0.000439218,37
22/6/17,1001.3,-0.098608438,-0.089727273,1110.838,2253.4,-0.000459403,37
23/6/17,1003.74,-0.096411898,-0.087509091,1110.838,2879.1,-0.000289003,37
26/6/17,993.98,-0.105198058,-0.096381818,1110.838,3386.2,-0.000342273,37
27/6/17,976.78,-0.120681864,-0.112018182,1110.838,3782.4,-0.000849833,37
28/6/17,990.3301,-0.108483775,-0.099699909,1110.838,3737.6,-0.000424479,37
29/6/17,975.9299,-0.121447142,-0.112791,1110.838,4303,-0.000727931,37
30/6/17,968,-0.128585806,-0.12,1110.838,3390.3,-0.000402947,37
3/7/17,953.6599,-0.141495069,-0.133036455,1110.838,2909.1,-0.002076234,37
4/7/17,953.6599,-0.141495069,-0.133036455,1110.838,0,0,37
5/7/17,971.3999,-0.125525144,-0.116909182,1110.838,3653,-0.000339625,37
