Date,amazon,facebook,apple,netflix,google,s_p
9/9/13,299.709991,44.040001,72.309998,42.021427,444.469482,167.630005
10/9/13,300.359985,43.599998,70.662857,44.722858,444.779785,168.869995
11/9/13,299.640015,45.040001,66.815712,44.042858,448.543549,169.399994
12/9/13,298.859985,44.75,67.527145,43.058571,446.97699,168.949997
13/9/13,297.920013,44.310001,66.414284,43.664288,444.97998,169.330002
16/9/13,296.059998,42.509998,64.302856,43.165714,444.32431,170.309998
17/9/13,304.170013,45.07,65.045715,42.792858,443.498505,171.070007
18/9/13,312.029999,45.23,66.382858,43.845715,452.112122,173.050003
19/9/13,312.059998,45.98,67.471428,43.642857,449.644653,172.759995
20/9/13,316.339996,47.490002,66.772858,44.832859,452.007019,170.720001
23/9/13,311.48999,47.189999,70.091431,43.148571,443.693695,169.929993
24/9/13,314.130005,48.450001,69.871429,43.784286,443.863861,169.529999
25/9/13,312.649994,49.459999,68.790001,43.877144,439.054047,169.039993
26/9/13,318.119995,50.389999,69.459999,44.787144,439.524536,169.690002
27/9/13,316.01001,51.240002,68.964287,44.628571,438.633636,168.910004
30/9/13,312.640015,50.23,68.10714,44.172855,438.393402,168.009995
1/10/13,320.950012,50.419998,69.708572,46.374287,443.943939,169.339996
2/10/13,320.51001,50.279999,69.937141,47.247143,444.439453,169.179993
3/10/13,314.76001,49.18,69.058571,45.959999,438.48349,167.619995
4/10/13,319.040009,51.040001,69.004288,46.751427,436.611603,168.889999
7/10/13,310.029999,50.52,69.678574,45.451427,433.303314,167.429993
8/10/13,303.230011,47.139999,68.705711,43.188572,427.262268,165.479996
9/10/13,298.230011,46.77,69.512856,41.204285,428.358368,165.600006
10/10/13,305.170013,49.049999,69.94857,43.427143,434.554565,169.169998
11/10/13,310.890015,49.110001,70.401428,42.978573,436.431427,170.259995
14/10/13,310.700012,49.509998,70.862854,46.337143,438.4935,170.940002
15/10/13,306.399994,49.5,71.239998,45.955715,441.446442,169.699997
16/10/13,310.48999,51.139999,71.587143,46.125713,449.464478,172.070007
17/10/13,310.769989,52.209999,72.071426,47.157143,444.839844,173.220001
18/10/13,328.929993,54.220001,72.69857,47.642857,506.211212,174.389999
21/10/13,326.440002,53.849998,74.480003,50.712856,502.152161,174.399994
22/10/13,332.540009,52.68,74.267143,46.074287,504.003998,175.410004
23/10/13,326.76001,51.900002,74.994286,47.177143,516.221191,174.570007
24/10/13,332.209991,52.450001,75.987144,47.317142,513.288269,175.149994
25/10/13,363.390015,51.950001,75.137146,46.861427,508.108093,175.949997
28/10/13,358.160004,50.23,75.697144,44.857143,508.007996,176.229996
29/10/13,362.700012,49.400002,73.811432,46.757141,518.638611,177.169998
30/10/13,361.079987,49.009998,74.985718,45.44857,515.725708,176.289993
31/10/13,364.029999,50.209999,74.671425,46.068573,515.805786,175.789993
1/11/13,359,49.75,74.290001,47.03857,514.034058,176.210007
4/11/13,358.73999,48.220001,75.25,48.228573,513.568542,176.830002
5/11/13,358.890015,50.110001,75.064285,48.785713,511.271271,176.270004
6/11/13,356.179993,49.119999,74.417145,47.947144,511.886902,177.169998
7/11/13,343.559998,47.560001,73.21286,46.694286,504.479492,174.929993
8/11/13,350.309998,47.529999,74.365715,47.842857,508.523529,177.289993
11/11/13,354.380005,46.200001,74.150002,48.272858,505.800812,177.320007
12/11/13,349.529999,46.610001,74.28714,47.675713,506.396393,176.960007
13/11/13,356.220001,48.709999,74.375717,47.897144,516.75177,178.380005
14/11/13,367.399994,48.990002,75.451431,48.938572,518.133118,179.270004
15/11/13,369.170013,49.009998,74.998573,49.965714,517.297302,180.050003
18/11/13,366.179993,45.830002,74.089996,48.824287,516.291321,179.419998
19/11/13,364.940002,46.360001,74.221428,48.184284,513.113098,179.029999
20/11/13,362.570007,46.43,73.571426,48.502857,511.666656,178.470001
21/11/13,368.920013,46.700001,74.44857,49.785713,517.552551,179.910004
22/11/13,372.309998,46.23,74.257141,49.692856,516.461487,180.809998
25/11/13,376.640015,44.82,74.82,50.034286,523.488464,180.630005
26/11/13,381.369995,45.889999,76.199997,50.742859,529.734741,180.679993
27/11/13,386.709991,46.490002,77.994286,51.784286,532.087097,181.119995
29/11/13,393.619995,47.009998,79.438568,52.257141,530.325317,181
2/12/13,392.299988,47.060001,78.747147,51.988571,527.767761,180.529999
3/12/13,384.660004,46.73,80.902855,51.848572,527.157166,179.75
4/12/13,385.959991,48.619999,80.714287,50.895714,529.619629,179.729996
5/12/13,384.48999,48.34,81.128571,51.151428,529.199219,178.940002
6/12/13,386.950012,47.939999,80.002853,50.634285,535.470459,180.940002
9/12/13,384.890015,48.84,80.918571,50.810001,539.609619,181.399994
10/12/13,387.779999,50.25,80.792854,51.871429,542.872864,180.75
